,spotify_song_id,weeks_on_chart,artists,name,peak_position
303,10GJQkjRJcZhGTLagFOC62,31,Hailee Steinfeld,Most Girls,56
304,10I3CmmwT0BkOVhduDy53o,4,Kevin Gates,Really Really,176
305,10Igtw8bSDyyFs7KIsKngZ,27,Lil Dicky,Freaky Friday ,6
306,10M2Ex445zw585Ducldzkw,46,Brett Young,In Case You Didn't Know,102
307,116H0KvKr2Zl4RPuVBruDO,37,Bad Bunny,MIA ,2
308,11EDhDAVDtGPoSar6ootYA,3,Halsey,Strangers,67
309,11IzgLRXV7Cgek3tEgGgjw,5,Queen,Under Pressure - Remastered,153
310,11L064movtyopGdLiX4sVg,3,Drake,Peak,22
311,11QvWp3CsEPd0YLE6xKGyx,1,Wale,My Boy ,182
312,11cCVYamncF0ezwjj1irQ0,1,Huncho Jack,Where U From,97
313,11kDth1aKUEUMq9r1pqyds,5,Travis Scott,5% TINT,13
314,11p2ty4w5GpoFL4vcK0Cru,1,Lil Skies,Name in the Sand,143
315,12GEpg2XOPyqk03JZEZnJs,37,"Kygo, Selena Gomez, Selena Gomez",It Ain't Me ,3
316,12VqHHz4wvVcnEdSivjLeQ,1,Khalid,Alive,86
317,13H2hdEQe1gZZZhtBK9xcq,1,Rich The Kid,Mo Paper,186
318,13HVjjWUZFaWilh2QUJKsP,6,James Bay,Let It Go,184
319,13ZyrkCDmRz5xY3seuAWYk,13,Juice WRLD,Hear Me Calling,16
320,13e6f8t7RKXuxZ0JdaaJRG,6,Drake,Jorja Interlude,15
321,14EgW52HVqnLHd30bgbPxg,2,"Ty Dolla $ign, Ty Dolla $ign, Future feat. Kiiara, Ty Dolla $ign, Future",Darkside ,167
322,14PWHDV87nXiSuClZDsEYC,1,Gunna,Richard Millie Plain,168
