,spotify_song_id,weeks_on_chart,artists,name,peak_position
291,1k7KigfkZh2Xb6khqV1a0K,5,YoungBoy Never Broke Again,Diamond Teeth Samurai,59
292,1kFBLqkTuNKlspkJ1EOGjN,10,Chris Janson,Drunk Girl,79
293,1kJtfldK9F7XmsSiSNlbth,1,Kesha,Woman,96
294,1kK6DwzyXJSp58u5HYWwuD,7,"YG, Tyga, Jon Z",Go Loko,49
295,1lasE4yXQmZ5mwWdGQGn8E,2,Mason Ramsey,Famous,62
296,1lsBTdE6MGsKeZCD6llNu7,9,Charlie Puth,Done For Me,53
297,1mMLMZYXkMueg65jRRWG1l,20,Luke Combs,When It Rains It Pours,33
298,1n4jwRVXdkK2U34nBDUKKT,1,Kendrick Lamar,Blood.,54
299,1nGoy0cEj0extAwXYNYTWd,2,Kanye West,Wouldn't Leave,24
300,1nX9KhK3Fff27SnrIor2Yb,12,2 Chainz,4 AM,55
301,1nXZnTALNXiPlvXotqHm66,1,"Tyler, The Creator",A Boy Is A Gun,74
302,1nueTG77MzNkJTKQ0ZdGzT,17,Maroon 5,Don't Wanna Know,6
303,1oUudyBYVGMIC8JXeIsFzq,1,"Rae Sremmurd, Travis Scott",Close,98
304,1orjH4IkSH9VrWmRCToKV8,9,NLE Choppa,Shotta Flow,67
305,1pKeFVVUOPjFsOABub0OaV,12,Ariana Grande,Side To Side,6
306,1psC5iHzQxaTMZ5dWGfM6I,5,Yo Gotti,Juice,90
307,1qsHYUd2c1wFGcn7e63QmG,5,Kanye West,Yikes,8
308,1r0faljjM2b876iNoaDUh5,1,Big Sean,Sacrifices,70
309,1r6cyaW7yMykwSyxTuwcuM,3,DJ Suede The Remix God,Cash Me Outside,72
310,1rM0CnyUiiw6A9CHJRXjZA,1,"Sofia Carson, Cameron Boyce, Booboo Stewart, Mitchell Hope",Chillin' Like A Villain,95
311,1rfofaqEpACxVEHIZBJe6W,45,Camila Cabello,Havana,1
312,1rlIrbWboTRGeKfHhgbJRZ,1,Quavo,Flip The Switch,48
313,1rqqCSm0Qe4I9rUvWncaom,46,Panic! At The Disco,High Hopes,4
314,1t34UsQ634a233qysq6D6L,6,Keith Urban,Female,69
